nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Perpustakaan Dan Kearsipan","Pustakawan Ahli Pertama",,3
"Dinas Sosial","Pekerja Sosial Ahli Pertama",,3
"KELURAHAN BERU","PENGADMINISTRASI PERKANTORAN",,3
"RSUD Ngudi Waluyo Wlingi","Teknisi Transfusi Darah Terampil",,3
"RSUD Ngudi Waluyo Wlingi","Nutrisionis Terampil",,3
"Dinas Peternakan dan Perikanan","Medik Veteriner Ahli Muda",,3
"RSUD Ngudi Waluyo Wlingi","Apoteker Ahli Madya",,3
"RSUD Ngudi Waluyo Wlingi","Bidan Ahli Pertama",,3
"Kecamatan Udanawu","PENGADMINISTRASI PERKANTORAN",,3
"Dinas Kesehatan","Asisten Apoteker Mahir",,3
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","PENGADMINISTRASI PERKANTORAN",,3
"Kelurahan Wlingi","PENGADMINISTRASI PERKANTORAN",,3
"RSUD Ngudi Waluyo Wlingi","Nutrisionis Ahli Pertama",,3
,"ASISTEN APOTEKER TERAMPIL",,3
"Dinas Kesehatan","AHLI PERTAMA - PENYULUH KESEHATAN MASYARAKAT",,3
"Dinas Perhubungan","PENGELOLA UMUM OPERASIONAL",,3
"Badan Pendapatan Daerah","OPERATOR LAYANAN OPERASIONAL",,3
"Dinas Peternakan dan Perikanan","PENATA LAYANAN OPERASIONAL",,3
"Dinas Kependudukan dan Pencatatan Sipil","PENGADMINISTRASI PERKANTORAN",,3
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Pemadam Kebakaran Pemula",,3
,"NUTRISIONIS TERAMPIL",,3
"Dinas Ketahanan Pangan dan Pertanian","Penyuluh Pertanian Terampil",,3
"Dinas Perindustrian dan Perdagangan","Penera Ahli Pertama",,2
"Dinas Kesehatan","Perencana Ahli Pertama",,2
"Dinas Kesehatan","Perawat Ahli Madya",,2
,"Bidan Penyelia",,2
"RSUD Srengat","Pranata Laboratorium Kesehatan Penyelia",,2
"Dinas Kesehatan","Terapis Gigi dan Mulut Penyelia",,2
"RSUD Ngudi Waluyo Wlingi","Teknisi Elektromedis Terampil",,2
"RSUD Ngudi Waluyo Wlingi","Perawat Mahir",,2
"SEKRETARIAT DAERAH","PENGELOLA LAYANAN OPERASIONAL",,2
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","PENATA KELOLA PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK",,2
"Dinas Lingkungan Hidup","Penyuluh Lingkungan Hidup Ahli Muda",,2
"RSUD Ngudi Waluyo Wlingi","Penata Anestesi Ahli Madya",,2
"Dinas Koperasi, Usaha Kecil dan Menengah","PENGOLAH DATA DAN INFORMASI",,2
"RSUD Srengat","Nutrisionis Penyelia",,2
